"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"СГНЛ"	"LСГНЛ"	"VAL"
"Численность населения на начало периода(Человек)"	"2024 год"	"202412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"12 451 192"
"Численность населения на начало периода(Человек)"	"2021 год"	"202112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"11 151 376"
"Численность населения на начало периода(Человек)"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"9 837 025"
"Численность населения на начало периода(Человек)"	"2011 год"	"201112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 973 922"
"Численность населения на начало периода(Человек)"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"10 035 577"
"Численность населения на начало периода(Человек)"	"2010 год"	"201012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"8 819 620"
"Численность населения на начало периода(Человек)"	"2012 год"	"201212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"9 127 543"
"Численность населения на начало периода(Человек)"	"2013 год"	"201312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"9 277 871"
"Численность населения на начало периода(Человек)"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"9 433 575"
"Численность населения на начало периода(Человек)"	"2025 год"	"202512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"12 773 115"
